"FEATURE,N,8,0","IDINCENDIO,N,10,5","NUMPARTE,N,12,5","FECHA,C,4","CMUNICIPIO,N,5,0","MUNICIPIO,C,100","FECHAEXTIN,C,10","SUPFOREST,N,19,2","SUPQUEMADA,N,19,2","SUPDIBUJO,N,19,2","GEOM_AREA,N,19,2","GEOM_PERI,N,19,2","BEGINLIFE,C,10"
30200036,71,2011310333,2011,249,Valtierra,29/06/2011,51.75,51.75,51.75,517475.66,4519.81,01/01/2020
30200036,72,2011310342,2011,262,Zabalza / Zabaltza,06/07/2011,237.76,237.76,237.76,2377550.92,7954.3,01/01/2020
30200036,73,2011310176,2011,149,Leitza,22/03/2011,6.47,6.47,6.47,64706.19,1090.35,01/01/2020
30200036,74,2011310177,2011,241,Urraúl Alto,,0.02,0.02,0.02,214.85,58.91,01/01/2020
30200036,75,2011310192,2011,690,Bardenas Reales,,0.02,0.02,0.02,195.48,57.26,01/01/2020
30200036,76,0,2011,29,Los Arcos,06/10/2011,0.84,0.84,0.84,8420.91,405.55,01/01/2020
30200036,77,0,2011,29,Los Arcos,06/10/2011,0.21,0.21,0.21,2092.2,345.37,01/01/2020
30200036,78,0,2011,66,Cárcar,06/10/2011,9.26,9.26,9.26,92621.36,1611.37,01/01/2020
30200036,79,0,2011,165,Mendavia,,0.12,0.12,0.12,1191.08,178.03,01/01/2020
30200036,80,0,2011,79,Desojo,10/10/2011,5.52,5.52,5.52,55187.89,1551.08,01/01/2020
30200036,81,0,2011,50,Baztan,24/10/2011,9.71,9.71,9.71,97097.94,2047.43,01/01/2020
30200036,82,0,2011,236,Ultzama,03/10/2011,0.22,0.22,0.22,2167.67,216.85,01/01/2020
30200036,83,0,2011,195,Orbaizeta,23/09/2011,2.71,2.71,2.71,27126.41,1320.98,01/01/2020
30200036,84,0,2011,195,Orbaizeta,23/09/2011,10.19,10.19,10.19,101865.19,1438.28,01/01/2020
30200036,85,0,2011,157,Lodosa,24/10/2011,5.63,5.63,5.63,56300.56,2356.23,01/01/2020
30200036,86,0,2011,17,Anue,20/10/2011,0.2,0.2,0.2,2018.52,181.52,01/01/2020
30200036,87,0,2011,157,Lodosa,30/10/2011,3.56,3.56,3.56,35619.58,1405.46,01/01/2020
30200036,88,0,2011,241,Urraúl Alto,23/10/2011,11.39,11.39,11.39,113906.24,3117.5,01/01/2020
30200036,89,0,2011,251,Viana,18/10/2011,1.92,1.92,1.92,19162.15,718.5,01/01/2020
30200036,90,2004310132,2004,235,Ujué / Uxue,02/08/2004,55,55,85.91,859097.71,4694.67,01/01/2020
30200036,91,2004310208,2004,103,Ezprogui,24/09/2004,13,13,14.43,144336.94,2238.13,01/01/2020
30200036,92,2004310168,2004,230,Torralba del Río,24/08/2004,19,19,15.99,159935.2,2809.96,01/01/2020
30200036,93,2004310079,2004,110,Gallipienzo / Galipentzu,25/06/2004,16,16,50.99,509932.94,3480.65,01/01/2020
30200036,94,2004310141,2004,7,Adiós,12/08/2004,3,3,6.63,66278.54,1439.03,01/01/2020
30200036,95,2004310000,2004,117,Goizueta,04/04/2004,11.02,11.02,13.51,135127.81,1846.86,01/01/2020
30200036,96,2004310000,2004,117,Goizueta,04/04/2004,5,5,7.09,70899.9,1757.57,01/01/2020
30200036,97,2003310015,2003,121,Guirguillano,28/01/2003,10.35,10.35,10.25,102533.7,1398.8,01/01/2020
30200036,98,2003310082,2003,187,Oiz,27/03/2003,3,3,3.46,34574.65,957.53,01/01/2020
30200036,99,2003310102,2003,117,Goizueta,23/05/2003,2,2,2.91,29144.27,898.97,01/01/2020
30200036,100,2003310000,2003,902,Berrioplano / Berriobeiti,21/06/2003,3.7,3.7,22.07,220677.9,3369.04,01/01/2020
30200036,101,2003310143,2003,86,Valle de Egüés / Eguesibar,15/07/2003,20,20,836.47,8364703.3,20873.05,01/01/2020
30200036,102,2002310100,2002,235,Ujué / Uxue,07/07/2002,81,81,424.31,4243007.71,11543.56,01/01/2020
30200036,103,2002310000,2002,155,Liédena,02/02/2002,4.08,4.08,3.48,34781.04,1322.4,01/01/2020
30200036,104,2002310000,2002,82,Etxalar,13/03/2002,36.17,36.17,40.01,400062.41,3424.47,01/01/2020
30200036,105,2002310000,2002,141,Lapoblación,28/09/2002,1.3,1.3,0.52,5166.42,779.72,01/01/2020
30200036,106,2007310223,2007,65,Caparroso,15/07/2007,10,10,32.94,329388.2,3266.11,01/01/2020
30200036,107,2007310255,2007,207,Pueyo / Puiu,25/07/2007,2.3,2.3,2.82,28172.97,1340.08,01/01/2020
30200036,109,2007310070,2007,20,Araitz,17/02/2007,87.41,87.41,106.07,1060724.1,5913.28,01/01/2020
30200036,110,2007310423,2007,108,Fustiñana,07/11/2007,0.42,0.42,0.37,3720.43,321.87,01/01/2020
30200036,111,2006310189,2006,250,Bera,14/04/2006,48.1,48.1,51.3,513023.83,4194.78,01/01/2020
30200036,112,2006310340,2006,159,Lumbier,11/08/2006,8,8,10.35,103520.42,1925.09,01/01/2020
30200036,113,2006310425,2006,54,Bertizarana,16/11/2006,2,2,2.52,25212.35,672.03,01/01/2020
30200036,114,2006310261,2006,135,Javier,17/06/2006,240,240,394.52,3945227.5,14151.49,01/01/2020
30200036,115,2006310161,2006,236,Ultzama,04/04/2006,8,8,7.95,79463.78,1747.02,01/01/2020
