Date,TotalSteps,TotalDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalMinutesAsleep,type
2016-05-01,10255,7.8899998664856,12,15,241,579,2926,547.0,Sleepers
2016-05-02,10096,8.39999961853027,33,4,204,935,3147,368.0,NonSleepers
2016-05-04,12375,9.52000045776367,35,21,251,632,3162,390.0,NonSleepers
2016-05-05,9603,7.38000011444092,12,39,199,896,2899,471.0,Sleepers
2016-05-05,9603,7.38000011444092,12,39,199,896,2899,471.0,Sleepers
2016-05-07,22770,17.5400009155273,120,56,260,508,4022,472.0,Sleepers
2016-05-08,17298,14.3800001144409,107,38,178,576,3934,529.0,Sleepers
2016-05-10,10299,7.92000007629395,13,14,267,648,3061,354.0,NonSleepers
2016-05-11,10201,7.84000015258789,8,18,256,858,2954,469.0,Sleepers
2016-04-12,3276,2.20000004768372,0,0,196,787,2113,429.0,NonSleepers
2016-04-13,2961,1.99000000953674,0,0,194,840,2095,370.0,NonSleepers
2016-04-14,3974,2.67000007629395,0,0,231,717,2194,441.0,Sleepers
2016-04-15,7198,4.82999992370605,0,0,350,711,2496,337.0,NonSleepers
2016-04-16,3945,2.65000009536743,0,0,225,716,2180,462.0,Sleepers
2016-04-19,2064,1.38999998569489,0,0,121,895,1954,388.0,NonSleepers
2016-04-20,2072,1.38999998569489,0,0,137,841,1974,439.0,Sleepers
2016-04-21,3809,2.55999994277954,0,0,215,756,2150,436.0,Sleepers
2016-04-22,6831,4.57999992370605,0,0,317,706,2432,388.0,NonSleepers
2016-04-25,3385,2.26999998092651,0,0,179,916,2070,328.0,NonSleepers
2016-04-26,6326,4.40999984741211,29,1,180,839,2291,353.0,NonSleepers
2016-04-27,7243,5.03000020980835,32,1,194,839,2361,332.0,NonSleepers
2016-04-28,4493,3.00999999046326,0,0,236,762,2203,419.0,NonSleepers
2016-04-30,6222,4.17999982833862,0,0,290,797,2363,322.0,NonSleepers
2016-05-01,5232,3.50999999046326,0,0,240,741,2246,439.0,Sleepers
2016-05-02,6910,4.75,27,4,200,667,2336,502.0,Sleepers
2016-05-03,7502,5.17999982833862,30,2,233,725,2421,417.0,NonSleepers
2016-05-04,2923,1.96000003814697,0,0,180,897,2070,337.0,NonSleepers
2016-05-05,3800,2.54999995231628,2,6,185,734,2120,462.0,Sleepers
2016-05-06,4514,3.02999997138977,0,0,229,809,2211,374.0,NonSleepers
2016-05-07,5183,3.58999991416931,26,4,108,866,2123,401.0,NonSleepers
