route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
6000080100GL023,2023-05-022023-06-11006011,0060112023-05-02,,00601,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2022-12-132023-06-11006021,0060212022-12-13,,00602,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2022-12-132023-06-11006031,0060312022-12-13,,00603,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2022-12-132023-06-11006051,0060512022-12-13,,00605,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2022-12-132023-06-11006061,0060612022-12-13,,00606,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2022-12-132023-01-04006081,0060812022-12-13,,00608,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2023-01-072023-04-04006081,0060812023-01-07,,00608,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2023-04-052023-04-07006081,0060812023-04-05,,00608,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2023-04-082023-06-11006081,0060812023-04-08,,00608,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2022-12-132023-06-11006091,0060912022-12-13,,00609,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2022-12-132023-06-11006092,0060922022-12-13,,00609,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2022-12-132023-06-11006101,0061012022-12-13,,00610,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2022-12-132023-03-18006121,0061212022-12-13,,00612,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2023-03-192023-03-20006121,0061212023-03-19,,00612,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2023-03-212023-04-29006121,0061212023-03-21,,00612,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2023-04-302023-05-02006121,0061212023-04-30,,00612,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2023-05-032023-05-13006121,0061212023-05-03,,00612,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2023-05-142023-05-15006121,0061212023-05-14,,00612,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2023-05-162023-06-11006121,0061212023-05-16,,00612,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2022-12-132023-01-05006131,0061312022-12-13,,00613,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2023-01-072023-04-04006131,0061312023-01-07,,00613,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2023-04-052023-04-05006131,0061312023-04-05,,00613,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2023-04-102023-04-10006131,0061312023-04-10,,00613,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2023-04-112023-04-29006131,0061312023-04-11,,00613,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2023-05-012023-05-01006131,0061312023-05-01,,00613,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2023-05-022023-05-13006131,0061312023-05-02,,00613,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2023-05-152023-06-11006131,0061312023-05-15,,00613,,,,1                                                                                                                                                                                                                                                                                       
2230871801GL023,2022-12-132023-02-23006211,0062112022-12-13,,00621,,,,1                                                                                                                                                                                                                                                                                       
2210071801GL023,2022-12-132023-02-23006212,0062122022-12-13,,00621,,,,2                                                                                                                                                                                                                                                                                       
2230871801GL023,2022-12-132023-02-23006213,0062132022-12-13,,00621,,,,2                                                                                                                                                                                                                                                                                       
1510071801GL023,2022-12-132023-02-23006214,0062142022-12-13,,00621,,,,2                                                                                                                                                                                                                                                                                       
7180122308GL023,2022-12-132023-02-23006221,0062212022-12-13,,00622,,,,2                                                                                                                                                                                                                                                                                       
7180122100GL023,2022-12-132023-02-23006222,0062222022-12-13,,00622,,,,2                                                                                                                                                                                                                                                                                       
7180122308GL023,2022-12-132023-02-23006223,0062232022-12-13,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180115100GL023,2022-12-132023-02-23006224,0062242022-12-13,,00622,,,,2                                                                                                                                                                                                                                                                                       
7180104040GL023,2022-12-132023-02-23006225,0062252022-12-13,,00622,,,,2                                                                                                                                                                                                                                                                                       
1120815100GL023,2022-12-132023-02-23006226,0062262022-12-13,,00622,,,,2                                                                                                                                                                                                                                                                                       
3141271801GL023,2022-12-132023-02-23006251,0062512022-12-13,,00625,,,,1                                                                                                                                                                                                                                                                                       
2210071801GL023,2022-12-132023-02-23006252,0062522022-12-13,,00625,,,,2                                                                                                                                                                                                                                                                                       
3141271801GL023,2022-12-132023-02-23006253,0062532022-12-13,,00625,,,,2                                                                                                                                                                                                                                                                                       
1510071801GL023,2022-12-132023-02-23006254,0062542022-12-13,,00625,,,,2                                                                                                                                                                                                                                                                                       
7180131412GL023,2022-12-132023-02-23006261,0062612022-12-13,,00626,,,,2                                                                                                                                                                                                                                                                                       
7180122100GL023,2022-12-132023-02-23006262,0062622022-12-13,,00626,,,,2                                                                                                                                                                                                                                                                                       
7180131412GL023,2022-12-132023-02-23006263,0062632022-12-13,,00626,,,,1                                                                                                                                                                                                                                                                                       
7180115100GL023,2022-12-132023-02-23006264,0062642022-12-13,,00626,,,,2                                                                                                                                                                                                                                                                                       
7180104040GL023,2022-12-132023-02-23006265,0062652022-12-13,,00626,,,,2                                                                                                                                                                                                                                                                                       
